KO	pval	FoldEnrichment	genes	size	cluster
ABC transporters	0	2.8065192966307	K16785---ecfT; energy-coupling factor transport system permease protein|K16786---ecfA1; energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]|K09811---ftsX; cell division transport system permease protein|K09691---ABC-2.LPSE.A; lipopolysaccharide transport system ATP-binding protein|K02002---proX; glycine betaine/proline transport system substrate-binding protein|K02000---proV; glycine betaine/proline transport system ATP-binding protein [EC:3.6.3.32]|K02072---metI; D-methionine transport system permease protein|K02073---metQ; D-methionine transport system substrate-binding protein|K05846---opuBD; osmoprotectant transport system permease protein|K05846---opuBD; osmoprotectant transport system permease protein|K10544---xylH; D-xylose transport system permease protein|K02037---pstC; phosphate transport system permease protein|K02038---pstA; phosphate transport system permease protein|K02036---pstB; phosphate transport system ATP-binding protein [EC:7.3.2.1]|K01998---livM; branched-chain amino acid transport system permease protein|K01995---livG; branched-chain amino acid transport system ATP-binding protein|K17317---gtsC, glcG; glucose/mannose transport system permease protein|K06861---lptB; lipopolysaccharide export system ATP-binding protein [EC:3.6.3.-]|K01999---livK; branched-chain amino acid transport system substrate-binding protein|K02020---modA; molybdate transport system substrate-binding protein|K16786---ecfA1; energy-coupling factor transport system ATP-binding protein [EC:3.6.3.-]|K16785---ecfT; energy-coupling factor transport system permease protein|K15553---ssuA; sulfonate transport system substrate-binding protein|K15554---ssuC; sulfonate transport system permease protein|K02193---ccmA; heme exporter protein A [EC:3.6.3.41]|K13893---yejA; microcin C transport system substrate-binding protein|K02011---afuB, fbpB; iron(III) transport system permease protein|K02012---afuA, fbpA; iron(III) transport system substrate-binding protein|K17317---gtsC, glcG; glucose/mannose transport system permease protein|K10240---cebE; cellobiose transport system substrate-binding protein|K03523---bioY; biotin transport system substrate-specific component|K16785---ecfT; energy-coupling factor transport system permease protein|K17317---gtsC, glcG; glucose/mannose transport system permease protein|K17317---gtsC, glcG; glucose/mannose transport system permease protein|K17317---gtsC, glcG; glucose/mannose transport system permease protein|K17317---gtsC, glcG; glucose/mannose transport system permease protein|K02042---phnE; phosphonate transport system permease protein|K02044---phnD; phosphonate transport system substrate-binding protein|K10439---rbsB; ribose transport system substrate-binding protein|K10441---rbsA; ribose transport system ATP-binding protein [EC:3.6.3.17]|K09691---ABC-2.LPSE.A; lipopolysaccharide transport system ATP-binding protein|K09690---ABC-2.LPSE.P; lipopolysaccharide transport system permease protein|K10003---gltJ, aatQ; glutamate/aspartate transport system permease protein|K02073---metQ; D-methionine transport system substrate-binding protein|K02072---metI; D-methionine transport system permease protein|K17317---gtsC, glcG; glucose/mannose transport system permease protein|K17317---gtsC, glcG; glucose/mannose transport system permease protein|K10441---rbsA; ribose transport system ATP-binding protein [EC:3.6.3.17]|K10440---rbsC; ribose transport system permease protein|K10559---rhaS; rhamnose transport system substrate-binding protein|K10440---rbsC; ribose transport system permease protein|K10441---rbsA; ribose transport system ATP-binding protein [EC:3.6.3.17]|K17317---gtsC, glcG; glucose/mannose transport system permease protein|K10439---rbsB; ribose transport system substrate-binding protein|K17317---gtsC, glcG; glucose/mannose transport system permease protein|K17317---gtsC, glcG; glucose/mannose transport system permease protein|K10439---rbsB; ribose transport system substrate-binding protein|K10441---rbsA; ribose transport system ATP-binding protein [EC:3.6.3.17]|K02044---phnD; phosphonate transport system substrate-binding protein	59	nonDEG_nonPA
Amino acid related enzymes [BR:ko01007]	0	2.38206527002163	K01885---EARS, gltX; glutamyl-tRNA synthetase [EC:6.1.1.17]|K03430---phnW; 2-aminoethylphosphonate-pyruvate transaminase [EC:2.6.1.37]|K00826---E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]|K01874---MARS, metG; methionyl-tRNA synthetase [EC:6.1.1.10]|K01883---CARS, cysS; cysteinyl-tRNA synthetase [EC:6.1.1.16]|K04567---KARS, lysS; lysyl-tRNA synthetase, class II [EC:6.1.1.6]|K07250---gabT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48]|K02805---wecE, rffA; dTDP-4-amino-4,6-dideoxygalactose transaminase [EC:2.6.1.59]|K01880---GARS, glyS1; glycyl-tRNA synthetase [EC:6.1.1.14]|K01867---WARS, trpS; tryptophanyl-tRNA synthetase [EC:6.1.1.2]|K02805---wecE, rffA; dTDP-4-amino-4,6-dideoxygalactose transaminase [EC:2.6.1.59]|K07250---gabT; 4-aminobutyrate aminotransferase / (S)-3-amino-2-methylpropionate transaminase / 5-aminovalerate transaminase [EC:2.6.1.19 2.6.1.22 2.6.1.48]|K01887---RARS, argS; arginyl-tRNA synthetase [EC:6.1.1.19]|K01890---FARSB, pheT; phenylalanyl-tRNA synthetase beta chain [EC:6.1.1.20]|K01866---YARS, tyrS; tyrosyl-tRNA synthetase [EC:6.1.1.1]|K01875---SARS, serS; seryl-tRNA synthetase [EC:6.1.1.11]|K01845---hemL; glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]|K14155---patB, malY; cysteine-S-conjugate beta-lyase [EC:4.4.1.13]|K01872---AARS, alaS; alanyl-tRNA synthetase [EC:6.1.1.7]|K01868---TARS, thrS; threonyl-tRNA synthetase [EC:6.1.1.3]|K01870---IARS, ileS; isoleucyl-tRNA synthetase [EC:6.1.1.5]	21	nonDEG_nonPA
Amino sugar and nucleotide sugar metabolism	0	3.26521191775073	K00790---murA; UDP-N-acetylglucosamine 1-carboxyvinyltransferase [EC:2.5.1.7]|K04042---glmU; bifunctional UDP-N-acetylglucosamine pyrophosphorylase / Glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]|K00963---UGP2, galU, galF; UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]|K00884---NAGK, nagK; N-acetylglucosamine kinase [EC:2.7.1.59]|K00884---NAGK, nagK; N-acetylglucosamine kinase [EC:2.7.1.59]|K00965---galT, GALT; UDPglucose--hexose-1-phosphate uridylyltransferase [EC:2.7.7.12]|K00849---galK; galactokinase [EC:2.7.1.6]|K12373---HEXA_B; hexosaminidase [EC:3.2.1.52]|K01443---nagA, AMDHD2; N-acetylglucosamine-6-phosphate deacetylase [EC:3.5.1.25]|K00884---NAGK, nagK; N-acetylglucosamine kinase [EC:2.7.1.59]|K00820---glmS, GFPT; glucosamine---fructose-6-phosphate aminotransferase (isomerizing) [EC:2.6.1.16]|K00884---NAGK, nagK; N-acetylglucosamine kinase [EC:2.7.1.59]|K00075---murB; UDP-N-acetylmuramate dehydrogenase [EC:1.3.1.98]|K00884---NAGK, nagK; N-acetylglucosamine kinase [EC:2.7.1.59]|K01809---manA, MPI; mannose-6-phosphate isomerase [EC:5.3.1.8]|K01835---pgm; phosphoglucomutase [EC:5.4.2.2]|K01784---galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]|K01809---manA, MPI; mannose-6-phosphate isomerase [EC:5.3.1.8]|K01784---galE, GALE; UDP-glucose 4-epimerase [EC:5.1.3.2]|K00523---ascD, ddhD, rfbI; CDP-4-dehydro-6-deoxyglucose reductase, E3 [EC:1.17.1.1]|K15898---pseI, neuB3; pseudaminic acid synthase [EC:2.5.1.97]|K00884---NAGK, nagK; N-acetylglucosamine kinase [EC:2.7.1.59]|K01835---pgm; phosphoglucomutase [EC:5.4.2.2]|K18676---gspK; glucosamine kinase [EC:2.7.1.8]|K07106---murQ; N-acetylmuramic acid 6-phosphate etherase [EC:4.2.1.126]|K18676---gspK; glucosamine kinase [EC:2.7.1.8]|K00012---UGDH, ugd; UDPglucose 6-dehydrogenase [EC:1.1.1.22]|K00884---NAGK, nagK; N-acetylglucosamine kinase [EC:2.7.1.59]|K00886---ppgK; polyphosphate glucokinase [EC:2.7.1.63]|K00884---NAGK, nagK; N-acetylglucosamine kinase [EC:2.7.1.59]|K01207---nagZ; beta-N-acetylhexosaminidase [EC:3.2.1.52]	31	nonDEG_nonPA
Bacterial secretion system	0	2.31724716743601	K03106---SRP54, ffh; signal recognition particle subunit SRP54 [EC:3.6.5.4]|K03110---ftsY; fused signal recognition particle receptor|K03116---tatA; sec-independent protein translocase protein TatA|K03217---yidC, spoIIIJ, OXA1, ccfA; YidC/Oxa1 family membrane protein insertase|K03116---tatA; sec-independent protein translocase protein TatA|K03118---tatC; sec-independent protein translocase protein TatC|K03116---tatA; sec-independent protein translocase protein TatA|K03075---secG; preprotein translocase subunit SecG|K03074---secF; preprotein translocase subunit SecF|K03072---secD; preprotein translocase subunit SecD|K03210---yajC; preprotein translocase subunit YajC	11	nonDEG_nonPA
Biofilm formation - Escherichia coli	0	2.04177023144711	K07687---rcsB; two-component system, NarL family, captular synthesis response regulator RcsB|K00688---PYG, glgP; glycogen phosphorylase [EC:2.4.1.1]|K07687---rcsB; two-component system, NarL family, captular synthesis response regulator RcsB|K07687---rcsB; two-component system, NarL family, captular synthesis response regulator RcsB|K07687---rcsB; two-component system, NarL family, captular synthesis response regulator RcsB|K07687---rcsB; two-component system, NarL family, captular synthesis response regulator RcsB|K07687---rcsB; two-component system, NarL family, captular synthesis response regulator RcsB|K07687---rcsB; two-component system, NarL family, captular synthesis response regulator RcsB|K07687---rcsB; two-component system, NarL family, captular synthesis response regulator RcsB|K07687---rcsB; two-component system, NarL family, captular synthesis response regulator RcsB|K07687---rcsB; two-component system, NarL family, captular synthesis response regulator RcsB|K11936---pgaC, icaA; poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]|K11936---pgaC, icaA; poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]|K11936---pgaC, icaA; poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]|K11936---pgaC, icaA; poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]|K07687---rcsB; two-component system, NarL family, captular synthesis response regulator RcsB|K07687---rcsB; two-component system, NarL family, captular synthesis response regulator RcsB|K07687---rcsB; two-component system, NarL family, captular synthesis response regulator RcsB	18	nonDEG_nonPA
Carbon fixation in photosynthetic organisms	0	17.6953420058749	K01808---rpiB; ribose 5-phosphate isomerase B [EC:5.3.1.6]|K02446---glpX; fructose-1,6-bisphosphatase II [EC:3.1.3.11]|K01624---FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]|K00024---mdh; malate dehydrogenase [EC:1.1.1.37]|K01624---FBA, fbaA; fructose-bisphosphate aldolase, class II [EC:4.1.2.13]|K00024---mdh; malate dehydrogenase [EC:1.1.1.37]|K00615---E2.2.1.1, tktA, tktB; transketolase [EC:2.2.1.1]|K01803---TPI, tpiA; triosephosphate isomerase (TIM) [EC:5.3.1.1]|K00927---PGK, pgk; phosphoglycerate kinase [EC:2.7.2.3]|K00134---GAPDH, gapA; glyceraldehyde 3-phosphate dehydrogenase [EC:1.2.1.12]|K01783---rpe, RPE; ribulose-phosphate 3-epimerase [EC:5.1.3.1]|K01621---xfp, xpk; xylulose-5-phosphate/fructose-6-phosphate phosphoketolase [EC:4.1.2.9 4.1.2.22]	12	nonDEG_nonPA
Carbon fixation pathways in prokaryotes	0	9.33920828087844	K01679---E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]|K01491---folD; methylenetetrahydrofolate dehydrogenase (NADP+) / methenyltetrahydrofolate cyclohydrolase [EC:1.5.1.5 3.5.4.9]|K01902---sucD; succinyl-CoA synthetase alpha subunit [EC:6.2.1.5]|K01903---sucC; succinyl-CoA synthetase beta subunit [EC:6.2.1.5]|K01895---ACSS, acs; acetyl-CoA synthetase [EC:6.2.1.1]|K09709---meh; 3-methylfumaryl-CoA hydratase [EC:4.2.1.153]|K00626---E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]|K00626---E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]|K00240---sdhB, frdB; succinate dehydrogenase / fumarate reductase, iron-sulfur subunit [EC:1.3.5.1 1.3.5.4]|K00242---sdhD, frdD; succinate dehydrogenase / fumarate reductase, membrane anchor subunit|K00241---sdhC, frdC; succinate dehydrogenase / fumarate reductase, cytochrome b subunit|K01961---accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]|K00024---mdh; malate dehydrogenase [EC:1.1.1.37]|K01679---E4.2.1.2B, fumC, FH; fumarate hydratase, class II [EC:4.2.1.2]|K01961---accC; acetyl-CoA carboxylase, biotin carboxylase subunit [EC:6.4.1.2 6.3.4.14]|K00626---E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]|K00024---mdh; malate dehydrogenase [EC:1.1.1.37]|K01681---ACO, acnA; aconitate hydratase [EC:4.2.1.3]|K00925---ackA; acetate kinase [EC:2.7.2.1]	19	nonDEG_nonPA
Cell cycle - Caulobacter	0	2.94922366764582	K03544---clpX, CLPX; ATP-dependent Clp protease ATP-binding subunit ClpX|K01358---clpP, CLPP; ATP-dependent Clp protease, protease subunit [EC:3.4.21.92]|K03588---ftsW, spoVE; cell division protein FtsW|K02313---dnaA; chromosomal replication initiator protein|K02314---dnaB; replicative DNA helicase [EC:3.6.4.12]|K11749---rseP; regulator of sigma E protease [EC:3.4.24.-]|K03588---ftsW, spoVE; cell division protein FtsW|K02563---murG; UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase [EC:2.4.1.227]|K03589---ftsQ; cell division protein FtsQ|K03531---ftsZ; cell division protein FtsZ	10	nonDEG_nonPA
Chromosome and associated proteins [BR:ko03036]	0	19.9072597566093	K04047---dps; starvation-inducible DNA-binding protein|K03529---smc; chromosome segregation protein|K03685---rnc, DROSHA, RNT1; ribonuclease III [EC:3.1.26.3]|K09811---ftsX; cell division transport system permease protein|K03719---lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein|K03593---mrp, NUBPL; ATP-binding protein involved in chromosome partitioning|K06916---zapE; cell division protein ZapE|K04095---fic; cell filamentation protein|K03719---lrp; Lrp/AsnC family transcriptional regulator, leucine-responsive regulatory protein|K03588---ftsW, spoVE; cell division protein FtsW|K02313---dnaA; chromosomal replication initiator protein|K03501---gidB, rsmG; 16S rRNA (guanine527-N7)-methyltransferase [EC:2.1.1.170]|K03496---parA, soj; chromosome partitioning protein|K05516---cbpA; curved DNA-binding protein|K03466---ftsK, spoIIIE; DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family|K03466---ftsK, spoIIIE; DNA segregation ATPase FtsK/SpoIIIE, S-DNA-T family|K04095---fic; cell filamentation protein|K03496---parA, soj; chromosome partitioning protein|K05896---scpA; segregation and condensation protein A|K06024---scpB; segregation and condensation protein B|K03496---parA, soj; chromosome partitioning protein|K03588---ftsW, spoVE; cell division protein FtsW|K03589---ftsQ; cell division protein FtsQ|K03531---ftsZ; cell division protein FtsZ|K09772---sepF; cell division inhibitor SepF|K03632---mukB; chromosome partition protein MukB|K06916---zapE; cell division protein ZapE	27	nonDEG_nonPA
Cysteine and methionine metabolism	0	20.6445656735208	K00826---E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]|K01505---E3.5.99.7; 1-aminocyclopropane-1-carboxylate deaminase [EC:3.5.99.7]|K01697---CBS; cystathionine beta-synthase [EC:4.2.1.22]|K00641---metX; homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]|K00549---metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]|K00547---mmuM, BHMT2; homocysteine S-methyltransferase [EC:2.1.1.10]|K00641---metX; homoserine O-acetyltransferase/O-succinyltransferase [EC:2.3.1.31 2.3.1.46]|K00003---hom; homoserine dehydrogenase [EC:1.1.1.3]|K00024---mdh; malate dehydrogenase [EC:1.1.1.37]|K00024---mdh; malate dehydrogenase [EC:1.1.1.37]|K00133---asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]|K00928---lysC; aspartate kinase [EC:2.7.2.4]|K14155---patB, malY; cysteine-S-conjugate beta-lyase [EC:4.4.1.13]|K00549---metE; 5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase [EC:2.1.1.14]	14	nonDEG_nonPA
DNA repair and recombination proteins [BR:ko03400]	0	6.43466982031816	K10563---mutM, fpg; formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]|K02346---dinB; DNA polymerase IV [EC:2.7.7.7]|K01972---E6.5.1.2, ligA, ligB; DNA ligase (NAD+) [EC:6.5.1.2]|K10563---mutM, fpg; formamidopyrimidine-DNA glycosylase [EC:3.2.2.23 4.2.99.18]|K03655---recG; ATP-dependent DNA helicase RecG [EC:3.6.4.12]|K03657---uvrD, pcrA; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]|K03601---xseA; exodeoxyribonuclease VII large subunit [EC:3.1.11.6]|K02341---holB; DNA polymerase III subunit delta [EC:2.7.7.7]|K03723---mfd; transcription-repair coupling factor (superfamily II helicase) [EC:3.6.4.-]|K00526---E1.17.4.1B, nrdB, nrdF; ribonucleoside-diphosphate reductase beta chain [EC:1.17.4.1]|K00525---E1.17.4.1A, nrdA, nrdE; ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]|K10843---ERCC3, XPB; DNA excision repair protein ERCC-3 [EC:3.6.4.12]|K03574---mutT, NUDT15, MTH2; 8-oxo-dGTP diphosphatase [EC:3.6.1.55]|K03168---topA; DNA topoisomerase I [EC:5.99.1.2]|K03657---uvrD, pcrA; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]|K03040---rpoA; DNA-directed RNA polymerase subunit alpha [EC:2.7.7.6]|K03046---rpoC; DNA-directed RNA polymerase subunit beta [EC:2.7.7.6]|K03724---lhr; ATP-dependent helicase Lhr and Lhr-like helicase [EC:3.6.4.-]|K03574---mutT, NUDT15, MTH2; 8-oxo-dGTP diphosphatase [EC:3.6.1.55]|K01142---E3.1.11.2, xthA; exodeoxyribonuclease III [EC:3.1.11.2]|K03654---recQ; ATP-dependent DNA helicase RecQ [EC:3.6.4.12]|K03574---mutT, NUDT15, MTH2; 8-oxo-dGTP diphosphatase [EC:3.6.1.55]|K02469---gyrA; DNA gyrase subunit A [EC:5.99.1.3]|K02470---gyrB; DNA gyrase subunit B [EC:5.99.1.3]|K03629---recF; DNA replication and repair protein RecF|K02335---polA; DNA polymerase I [EC:2.7.7.7]|K03111---ssb; single-strand DNA-binding protein|K01142---E3.1.11.2, xthA; exodeoxyribonuclease III [EC:3.1.11.2]|K03648---UNG, UDG; uracil-DNA glycosylase [EC:3.2.2.27]|K01246---tag; DNA-3-methyladenine glycosylase I [EC:3.2.2.20]|K01247---alkA; DNA-3-methyladenine glycosylase II [EC:3.2.2.21]|K03553---recA; recombination protein RecA|K01356---lexA; repressor LexA [EC:3.4.21.88]|K03657---uvrD, pcrA; DNA helicase II / ATP-dependent DNA helicase PcrA [EC:3.6.4.12]|K03631---recN; DNA repair protein RecN (Recombination protein N)|K06187---recR; recombination protein RecR|K01971---ligD; bifunctional non-homologous end joining protein LigD [EC:6.5.1.1]|K02343---dnaX; DNA polymerase III subunit gamma/tau [EC:2.7.7.7]|K03703---uvrC; excinuclease ABC subunit C|K03701---uvrA; excinuclease ABC subunit A|K04066---priA; primosomal protein N (replication factor Y) (superfamily II helicase) [EC:3.6.4.-]|K03551---ruvB; holliday junction DNA helicase RuvB [EC:3.6.4.12]|K03550---ruvA; holliday junction DNA helicase RuvA [EC:3.6.4.12]|K01159---ruvC; crossover junction endodeoxyribonuclease RuvC [EC:3.1.22.4]|K01520---dut, DUT; dUTP pyrophosphatase [EC:3.6.1.23]|K02469---gyrA; DNA gyrase subunit A [EC:5.99.1.3]|K02470---gyrB; DNA gyrase subunit B [EC:5.99.1.3]|K03584---recO; DNA repair protein RecO (recombination protein O)	48	nonDEG_nonPA
DNA replication proteins [BR:ko03032]	0	4.79248845992446	K01972---E6.5.1.2, ligA, ligB; DNA ligase (NAD+) [EC:6.5.1.2]|K02341---holB; DNA polymerase III subunit delta [EC:2.7.7.7]|K03168---topA; DNA topoisomerase I [EC:5.99.1.2]|K02469---gyrA; DNA gyrase subunit A [EC:5.99.1.3]|K02470---gyrB; DNA gyrase subunit B [EC:5.99.1.3]|K02313---dnaA; chromosomal replication initiator protein|K02335---polA; DNA polymerase I [EC:2.7.7.7]|K03111---ssb; single-strand DNA-binding protein|K02314---dnaB; replicative DNA helicase [EC:3.6.4.12]|K02343---dnaX; DNA polymerase III subunit gamma/tau [EC:2.7.7.7]|K02469---gyrA; DNA gyrase subunit A [EC:5.99.1.3]|K02470---gyrB; DNA gyrase subunit B [EC:5.99.1.3]|K02316---dnaG; DNA primase [EC:2.7.7.101]	13	nonDEG_nonPA
Drug metabolism - other enzymes	0	10.3222828367604	K00760---hprT, hpt, HPRT1; hypoxanthine phosphoribosyltransferase [EC:2.4.2.8]|K01951---guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]|K01489---cdd, CDA; cytidine deaminase [EC:3.5.4.5]|K00758---deoA, TYMP; thymidine phosphorylase [EC:2.4.2.4]|K00088---IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]|K00857---tdk, TK; thymidine kinase [EC:2.7.1.21]|K01520---dut, DUT; dUTP pyrophosphatase [EC:3.6.1.23]	7	nonDEG_nonPA
Enzymes with EC numbers	0	94.3751573646664	K03827---yjaB; putative acetyltransferase [EC:2.3.1.-]|K01104---E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48]|K17758---nnr; ADP-dependent NAD(P)H-hydrate dehydratase [EC:4.2.1.136]|K07053---E3.1.3.97; 3,5-nucleoside bisphosphate phosphatase [EC:3.1.3.97]|K05888---K05888; L-gulono-1,4-lactone dehydrogenase [EC:1.1.2.-]|K00154---E1.2.1.68; coniferyl-aldehyde dehydrogenase [EC:1.2.1.68]|K19265---gpr; L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-]|K03578---hrpA; ATP-dependent helicase HrpA [EC:3.6.4.13]|K07305---msrB; peptide-methionine (R)-S-oxide reductase [EC:1.8.4.12]|K00344---qor, CRYZ; NADPH2:quinone reductase [EC:1.6.5.5]|K22441---paiA; diamine N-acetyltransferase [EC:2.3.1.57]|K05888---K05888; L-gulono-1,4-lactone dehydrogenase [EC:1.1.2.-]|K01104---E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48]|K03741---arsC2, arsC; arsenate reductase (thioredoxin) [EC:1.20.4.4]|K22278---pdgA; peptidoglycan-N-acetylglucosamine deacetylase [EC:3.5.1.104]|K01104---E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48]|K19265---gpr; L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-]|K00344---qor, CRYZ; NADPH2:quinone reductase [EC:1.6.5.5]|K00344---qor, CRYZ; NADPH2:quinone reductase [EC:1.6.5.5]|K20938---ladA; long-chain alkane monooxygenase [EC:1.14.14.28]|K00344---qor, CRYZ; NADPH2:quinone reductase [EC:1.6.5.5]|K19270---yfbT, yniC; sugar-phosphatase [EC:3.1.3.23]|K00344---qor, CRYZ; NADPH2:quinone reductase [EC:1.6.5.5]|K22441---paiA; diamine N-acetyltransferase [EC:2.3.1.57]|K22320---oleD; 2-alkyl-3-oxoalkanoate reductase [EC:1.1.1.412]|K07503---nucS; endonuclease [EC:3.1.-.-]|K09022---ridA, tdcF, RIDA; 2-iminobutanoate/2-iminopropanoate deaminase [EC:3.5.99.10]|K19265---gpr; L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-]|K19265---gpr; L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-]|K07223---yfeX; porphyrinogen peroxidase [EC:1.11.1.-]|K01104---E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48]|K00661---maa; maltose O-acetyltransferase [EC:2.3.1.79]|K19270---yfbT, yniC; sugar-phosphatase [EC:3.1.3.23]|K19270---yfbT, yniC; sugar-phosphatase [EC:3.1.3.23]|K22441---paiA; diamine N-acetyltransferase [EC:2.3.1.57]|K00661---maa; maltose O-acetyltransferase [EC:2.3.1.79]|K00661---maa; maltose O-acetyltransferase [EC:2.3.1.79]|K19431---epsO; pyruvyl transferase EpsO [EC:2.-.-.-]|K00354---E1.6.99.1; NADPH2 dehydrogenase [EC:1.6.99.1]|K17758---nnr; ADP-dependent NAD(P)H-hydrate dehydratase [EC:4.2.1.136]|K05886---sdh; serine 3-dehydrogenase (NADP+) [EC:1.1.1.276]|K19265---gpr; L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-]|K13663---gumF; acyltransferase [EC:2.3.1.-]|K22441---paiA; diamine N-acetyltransferase [EC:2.3.1.57]|K03827---yjaB; putative acetyltransferase [EC:2.3.1.-]|K02846---solA; N-methyl-L-tryptophan oxidase [EC:1.5.3.-]|K19265---gpr; L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-]|K19265---gpr; L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-]|K02082---agaS; tagatose-6-phosphate ketose/aldose isomerase [EC:5.-.-.-]|K13979---yahK; uncharacterized zinc-type alcohol dehydrogenase-like protein [EC:1.-.-.-]|K01462---PDF, def; peptide deformylase [EC:3.5.1.88]|K03820---lnt; apolipoprotein N-acyltransferase [EC:2.3.1.269]|K19270---yfbT, yniC; sugar-phosphatase [EC:3.1.3.23]|K12410---npdA; NAD-dependent deacetylase [EC:3.5.1.-]|K13292---lgt, umpA; phosphatidylglycerol---prolipoprotein diacylglyceryl transferase [EC:2.5.1.145]|K07447---ruvX; putative holliday junction resolvase [EC:3.1.-.-]|K17758---nnr; ADP-dependent NAD(P)H-hydrate dehydratase [EC:4.2.1.136]|K19265---gpr; L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-]|K00982---glnE; [glutamine synthetase] adenylyltransferase / [glutamine synthetase]-adenylyl-L-tyrosine phosphorylase [EC:2.7.7.42 2.7.7.89]|K01118---acpD, azoR; FMN-dependent NADH-azoreductase [EC:1.7.1.17]|K01104---E3.1.3.48; protein-tyrosine phosphatase [EC:3.1.3.48]|K03741---arsC2, arsC; arsenate reductase (thioredoxin) [EC:1.20.4.4]|K20938---ladA; long-chain alkane monooxygenase [EC:1.14.14.28]|K01462---PDF, def; peptide deformylase [EC:3.5.1.88]	64	nonDEG_nonPA
