KO	pval	FoldEnrichment	genes	size	updown
Purine metabolism	0	8.64665354330709	K01951---guaA, GMPS; GMP synthase (glutamine-hydrolysing) [EC:6.3.5.2]|K00088---IMPDH, guaB; IMP dehydrogenase [EC:1.1.1.205]|K01952---purL, PFAS; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]|K01952---purL, PFAS; phosphoribosylformylglycinamidine synthase [EC:6.3.5.3]|K01515---nudF; ADP-ribose pyrophosphatase [EC:3.6.1.13]	5	up
Quorum sensing	0	29.9750656167979	K01897---ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]|K01997---livH; branched-chain amino acid transport system permease protein|K02031---ABC.PE.A; peptide/nickel transport system ATP-binding protein|K02031---ABC.PE.A; peptide/nickel transport system ATP-binding protein|K02033---ABC.PE.P; peptide/nickel transport system permease protein|K02035---ABC.PE.S; peptide/nickel transport system substrate-binding protein|K02034---ABC.PE.P1; peptide/nickel transport system permease protein|K02034---ABC.PE.P1; peptide/nickel transport system permease protein|K02035---ABC.PE.S; peptide/nickel transport system substrate-binding protein|K03070---secA; preprotein translocase subunit SecA|K02035---ABC.PE.S; peptide/nickel transport system substrate-binding protein|K02033---ABC.PE.P; peptide/nickel transport system permease protein|K01897---ACSL, fadD; long-chain acyl-CoA synthetase [EC:6.2.1.3]	13	up
Starch and sucrose metabolism	3.09886100915124e-05	5.18799212598425	K16147---glgE; starch synthase (maltosyl-transferring) [EC:2.4.99.16]|K05349---bglX; beta-glucosidase [EC:3.2.1.21]|K01214---ISA, treX; isoamylase [EC:3.2.1.68]|K05349---bglX; beta-glucosidase [EC:3.2.1.21]|K00975---glgC; glucose-1-phosphate adenylyltransferase [EC:2.7.7.27]|K05343---treS; maltose alpha-D-glucosyltransferase / alpha-amylase [EC:5.4.99.16 3.2.1.1]	6	up
Transcription factors [BR:ko03000]	0	38.7370078740158	K09017---rutR; TetR/AcrR family transcriptional regulator|K03709---troR; DtxR family transcriptional regulator, Mn-dependent transcriptional regulator|K02529---lacI, galR; LacI family transcriptional regulator|K14063---feaR; AraC family transcriptional regulator, positive regulator of tynA and feaB|K16137---nemR; TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon|K06075---slyA; MarR family transcriptional regulator, transcriptional regulator for hemolysin|K06075---slyA; MarR family transcriptional regulator, transcriptional regulator for hemolysin|K02529---lacI, galR; LacI family transcriptional regulator|K16137---nemR; TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon|K13639---soxR; MerR family transcriptional regulator, redox-sensitive transcriptional activator SoxR|K06075---slyA; MarR family transcriptional regulator, transcriptional regulator for hemolysin|K03718---asnC; Lrp/AsnC family transcriptional regulator, regulator for asnA, asnC and gidA|K02529---lacI, galR; LacI family transcriptional regulator|K02529---lacI, galR; LacI family transcriptional regulator|K02624---pcaR; IclR family transcriptional regulator, pca regulon regulatory protein|K02529---lacI, galR; LacI family transcriptional regulator|K16137---nemR; TetR/AcrR family transcriptional regulator, transcriptional repressor for nem operon|K02444---glpR; DeoR family transcriptional regulator, glycerol-3-phosphate regulon repressor|K07734---paiB; transcriptional regulator|K02529---lacI, galR; LacI family transcriptional regulator|K10778---ada; AraC family transcriptional regulator, regulatory protein of adaptative response / methylated-DNA-[protein]-cysteine methyltransferase [EC:2.1.1.63]|K06075---slyA; MarR family transcriptional regulator, transcriptional regulator for hemolysin|K05799---pdhR; GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex|K02529---lacI, galR; LacI family transcriptional regulator|K19337---hexR; RpiR family transcriptional regulator, carbohydrate utilization regulator|K02529---lacI, galR; LacI family transcriptional regulator|K19591---cueR; MerR family transcriptional regulator, copper efflux regulator|K03892---arsR; ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor	28	up
Transporters [BR:ko02000]	0	401.204724409449	K17317---gtsC, glcG; glucose/mannose transport system permease protein|K02025---ABC.MS.P; multiple sugar transport system permease protein|K10117---msmE; raffinose/stachyose/melibiose transport system substrate-binding protein|K09690---ABC-2.LPSE.P; lipopolysaccharide transport system permease protein|K11936---pgaC, icaA; poly-beta-1,6-N-acetyl-D-glucosamine synthase [EC:2.4.1.-]|K07224---efeO; iron uptake system component EfeO|K16301---efeB; deferrochelatase/peroxidase EfeB [EC:1.11.1.-]|K02003---ABC.CD.A; putative ABC transport system ATP-binding protein|K03282---mscL; large conductance mechanosensitive channel|K10441---rbsA; ribose transport system ATP-binding protein [EC:3.6.3.17]|K10543---xylF; D-xylose transport system substrate-binding protein|K01997---livH; branched-chain amino acid transport system permease protein|K02031---ABC.PE.A; peptide/nickel transport system ATP-binding protein|K02031---ABC.PE.A; peptide/nickel transport system ATP-binding protein|K02033---ABC.PE.P; peptide/nickel transport system permease protein|K17317---gtsC, glcG; glucose/mannose transport system permease protein|K03548---perM; putative permease|K11103---dctA; aerobic C4-dicarboxylate transport protein|K02003---ABC.CD.A; putative ABC transport system ATP-binding protein|K16235---mmuP; S-methylmethionine transporter|K02003---ABC.CD.A; putative ABC transport system ATP-binding protein|K06147---ABCB-BAC; ATP-binding cassette, subfamily B, bacterial|K10233---aglF, ggtC; alpha-glucoside transport system permease protein|K10232---aglE, ggtB; alpha-glucoside transport system substrate-binding protein|K08221---yitG, ymfD, yfmO; MFS transporter, ACDE family, multidrug resistance protein|K02004---ABC.CD.P; putative ABC transport system permease protein|K02003---ABC.CD.A; putative ABC transport system ATP-binding protein|K03321---TC.SULP; sulfate permease, SulP family|K08368---yaaU; MFS transporter, putative metabolite transport protein|K16784---bioM; biotin transport system ATP-binding protein [EC:3.6.3.-]|K02027---ABC.MS.S; multiple sugar transport system substrate-binding protein|K02035---ABC.PE.S; peptide/nickel transport system substrate-binding protein|K02034---ABC.PE.P1; peptide/nickel transport system permease protein|K02027---ABC.MS.S; multiple sugar transport system substrate-binding protein|K02003---ABC.CD.A; putative ABC transport system ATP-binding protein|K06147---ABCB-BAC; ATP-binding cassette, subfamily B, bacterial|K03446---emrB; MFS transporter, DHA2 family, multidrug resistance protein|K02034---ABC.PE.P1; peptide/nickel transport system permease protein|K02035---ABC.PE.S; peptide/nickel transport system substrate-binding protein|K02015---ABC.FEV.P; iron complex transport system permease protein|K10440---rbsC; ribose transport system permease protein|K06189---corC; magnesium and cobalt transporter|K02035---ABC.PE.S; peptide/nickel transport system substrate-binding protein|K02033---ABC.PE.P; peptide/nickel transport system permease protein|K07114---yfbK; Ca-activated chloride channel homolog|K03449---MFS.CP; MFS transporter, CP family, cyanate transporter|K08225---entS; MFS transporter, ENTS family, enterobactin (siderophore) exporter|K02003---ABC.CD.A; putative ABC transport system ATP-binding protein|K02004---ABC.CD.P; putative ABC transport system permease protein|K02025---ABC.MS.P; multiple sugar transport system permease protein|K17317---gtsC, glcG; glucose/mannose transport system permease protein|K02025---ABC.MS.P; multiple sugar transport system permease protein|K11189---PTS-HPR; phosphocarrier protein|K17317---gtsC, glcG; glucose/mannose transport system permease protein|K02025---ABC.MS.P; multiple sugar transport system permease protein|K02057---ABC.SS.P; simple sugar transport system permease protein|K10441---rbsA; ribose transport system ATP-binding protein [EC:3.6.3.17]|K03446---emrB; MFS transporter, DHA2 family, multidrug resistance protein	58	up
Two-component system	0	38.0452755905512	K07687---rcsB; two-component system, NarL family, captular synthesis response regulator RcsB|K07657---phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB|K01467---ampC; beta-lactamase class C [EC:3.5.2.6]|K11103---dctA; aerobic C4-dicarboxylate transport protein|K07657---phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB|K01547---kdpB; K+-transporting ATPase ATPase B chain [EC:3.6.3.12]|K07687---rcsB; two-component system, NarL family, captular synthesis response regulator RcsB|K07657---phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB|K07657---phoB; two-component system, OmpR family, phosphate regulon response regulator PhoB|K00626---E2.3.1.9, atoB; acetyl-CoA C-acetyltransferase [EC:2.3.1.9]|K01915---glnA, GLUL; glutamine synthetase [EC:6.3.1.2]	11	up
Cysteine and methionine metabolism	1.16175494146704e-05	7.51657754010695	K00812---aspB; aspartate aminotransferase [EC:2.6.1.1]|K00826---E2.6.1.42, ilvE; branched-chain amino acid aminotransferase [EC:2.6.1.42]|K00812---aspB; aspartate aminotransferase [EC:2.6.1.1]|K00640---cysE; serine O-acetyltransferase [EC:2.3.1.30]|K01697---CBS; cystathionine beta-synthase [EC:4.2.1.22]|K00789---metK; S-adenosylmethionine synthetase [EC:2.5.1.6]	6	down
Phenylalanine, tyrosine and tryptophan biosynthesis	2.34445941628341e-05	6.02892156862745	K00812---aspB; aspartate aminotransferase [EC:2.6.1.1]|K01658---trpG; anthranilate synthase component II [EC:4.1.3.27]|K00812---aspB; aspartate aminotransferase [EC:2.6.1.1]|K00817---hisC; histidinol-phosphate aminotransferase [EC:2.6.1.9]|K01696---trpB; tryptophan synthase beta chain [EC:4.2.1.20]|K01735---aroB; 3-dehydroquinate synthase [EC:4.2.3.4]|K00014---aroE; shikimate dehydrogenase [EC:1.1.1.25]	7	down
Pyrimidine metabolism	0	22.9673202614379	K09903---pyrH; uridylate kinase [EC:2.7.4.22]|K01937---pyrG, CTPS; CTP synthase [EC:6.3.4.2]|K01591---pyrF; orotidine-5-phosphate decarboxylase [EC:4.1.1.23]|K01955---carB, CPA2; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]|K00609---pyrB, PYR2; aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]	5	down
Quorum sensing	0	110.243137254902	K02034---ABC.PE.P1; peptide/nickel transport system permease protein|K02031---ABC.PE.A; peptide/nickel transport system ATP-binding protein|K02034---ABC.PE.P1; peptide/nickel transport system permease protein|K02035---ABC.PE.S; peptide/nickel transport system substrate-binding protein|K03076---secY; preprotein translocase subunit SecY|K03073---secE; preprotein translocase subunit SecE|K01658---trpG; anthranilate synthase component II [EC:4.1.3.27]|K02033---ABC.PE.P; peptide/nickel transport system permease protein	8	down
Ribosome	0	15.5778346121057	K02996---RP-S9, MRPS9, rpsI; small subunit ribosomal protein S9|K02871---RP-L13, MRPL13, rplM; large subunit ribosomal protein L13|K02879---RP-L17, MRPL17, rplQ; large subunit ribosomal protein L17|K02919---RP-L36, MRPL36, rpmJ; large subunit ribosomal protein L36|K02876---RP-L15, MRPL15, rplO; large subunit ribosomal protein L15|K02907---RP-L30, MRPL30, rpmD; large subunit ribosomal protein L30|K02988---RP-S5, MRPS5, rpsE; small subunit ribosomal protein S5|K02881---RP-L18, MRPL18, rplR; large subunit ribosomal protein L18|K02933---RP-L6, MRPL6, rplF; large subunit ribosomal protein L6|K02994---RP-S8, rpsH; small subunit ribosomal protein S8|K02931---RP-L5, MRPL5, rplE; large subunit ribosomal protein L5|K02895---RP-L24, MRPL24, rplX; large subunit ribosomal protein L24|K02874---RP-L14, MRPL14, rplN; large subunit ribosomal protein L14|K02961---RP-S17, MRPS17, rpsQ; small subunit ribosomal protein S17|K02904---RP-L29, rpmC; large subunit ribosomal protein L29|K02878---RP-L16, MRPL16, rplP; large subunit ribosomal protein L16|K02982---RP-S3, rpsC; small subunit ribosomal protein S3|K02890---RP-L22, MRPL22, rplV; large subunit ribosomal protein L22|K02965---RP-S19, rpsS; small subunit ribosomal protein S19|K02926---RP-L4, MRPL4, rplD; large subunit ribosomal protein L4|K02906---RP-L3, MRPL3, rplC; large subunit ribosomal protein L3|K02946---RP-S10, MRPS10, rpsJ; small subunit ribosomal protein S10|K02864---RP-L10, MRPL10, rplJ; large subunit ribosomal protein L10|K02867---RP-L11, MRPL11, rplK; large subunit ribosomal protein L11|K02945---RP-S1, rpsA; small subunit ribosomal protein S1|K02899---RP-L27, MRPL27, rpmA; large subunit ribosomal protein L27	26	down
Ribosome [BR:ko03011]	2.25417660673822e-31	13.2700072621641	K02996---RP-S9, MRPS9, rpsI; small subunit ribosomal protein S9|K02871---RP-L13, MRPL13, rplM; large subunit ribosomal protein L13|K02879---RP-L17, MRPL17, rplQ; large subunit ribosomal protein L17|K02919---RP-L36, MRPL36, rpmJ; large subunit ribosomal protein L36|K02876---RP-L15, MRPL15, rplO; large subunit ribosomal protein L15|K02907---RP-L30, MRPL30, rpmD; large subunit ribosomal protein L30|K02988---RP-S5, MRPS5, rpsE; small subunit ribosomal protein S5|K02881---RP-L18, MRPL18, rplR; large subunit ribosomal protein L18|K02933---RP-L6, MRPL6, rplF; large subunit ribosomal protein L6|K02994---RP-S8, rpsH; small subunit ribosomal protein S8|K02931---RP-L5, MRPL5, rplE; large subunit ribosomal protein L5|K02895---RP-L24, MRPL24, rplX; large subunit ribosomal protein L24|K02874---RP-L14, MRPL14, rplN; large subunit ribosomal protein L14|K02961---RP-S17, MRPS17, rpsQ; small subunit ribosomal protein S17|K02904---RP-L29, rpmC; large subunit ribosomal protein L29|K02878---RP-L16, MRPL16, rplP; large subunit ribosomal protein L16|K02982---RP-S3, rpsC; small subunit ribosomal protein S3|K02890---RP-L22, MRPL22, rplV; large subunit ribosomal protein L22|K02965---RP-S19, rpsS; small subunit ribosomal protein S19|K02926---RP-L4, MRPL4, rplD; large subunit ribosomal protein L4|K02906---RP-L3, MRPL3, rplC; large subunit ribosomal protein L3|K02946---RP-S10, MRPS10, rpsJ; small subunit ribosomal protein S10|K02864---RP-L10, MRPL10, rplJ; large subunit ribosomal protein L10|K02867---RP-L11, MRPL11, rplK; large subunit ribosomal protein L11|K02945---RP-S1, rpsA; small subunit ribosomal protein S1|K02899---RP-L27, MRPL27, rpmA; large subunit ribosomal protein L27	26	down
Ribosome biogenesis [BR:ko03009]	0.00018675269962268	6.26381461675579	K13288---orn, REX2, REXO2; oligoribonuclease [EC:3.1.-.-]|K02860---rimM; 16S rRNA processing protein RimM|K02601---nusG; transcriptional antiterminator NusG|K06180---rluD; 23S rRNA pseudouridine1911/1915/1917 synthase [EC:5.4.99.23]|K03625---nusB; N utilization substance protein B	5	down
Transporters [BR:ko02000]	0	49.6094117647059	K08167---smvA, qacA, lfrA; MFS transporter, DHA2 family, multidrug resistance protein|K07243---FTR, FTH1, efeU; high-affinity iron transporter|K02034---ABC.PE.P1; peptide/nickel transport system permease protein|K02031---ABC.PE.A; peptide/nickel transport system ATP-binding protein|K02034---ABC.PE.P1; peptide/nickel transport system permease protein|K02035---ABC.PE.S; peptide/nickel transport system substrate-binding protein|K16211---malY, malT; maltose/moltooligosaccharide transporter|K02003---ABC.CD.A; putative ABC transport system ATP-binding protein|K02003---ABC.CD.A; putative ABC transport system ATP-binding protein|K02003---ABC.CD.A; putative ABC transport system ATP-binding protein|K02003---ABC.CD.A; putative ABC transport system ATP-binding protein|K03321---TC.SULP; sulfate permease, SulP family|K02033---ABC.PE.P; peptide/nickel transport system permease protein|K15738---uup; ABC transport system ATP-binding/permease protein|K11939---rhtA; inner membrane transporter RhtA|K11189---PTS-HPR; phosphocarrier protein|K02769---PTS-Fru-EIIB, fruA; PTS system, fructose-specific IIB component [EC:2.7.1.202]|K09013---sufC; Fe-S cluster assembly ATP-binding protein	18	down
